android,crdroid,crdroidandroid/android,66bd203cfd4b8d9f7f727c9abd7d2976d0a12dc6
art,crdroid,crdroidandroid/android_art,673ecfc9c0a02f43c6bc64349585459bca55bedd
bionic,crdroid,crdroidandroid/android_bionic,e5654142d5c084132ab946ef12e62fbde287569a
bootable/libbootloader,aosp,platform/bootable/libbootloader,6e3710f107248dfbefbf79aaf81caca73a742cab
bootable/recovery,crdroid,crdroidandroid/android_bootable_recovery,ef49f09adb36d314f14054ce1a1e670ae3e7d4f4
build/bazel,aosp,platform/build/bazel,9898ac01c9525bf91d23a1c2b83fc401603cb6d3
build/bazel_common_rules,aosp,platform/build/bazel_common_rules,f6cf03f7d0ba2e7cb05c0109a5cd57aae07dc6e8
build/blueprint,aosp,platform/build/blueprint,fc8c3e1f3d09a9931fcde600aab703e8ace497f5
build/make,crdroid,crdroidandroid/android_build,c8bad589bedbc20c8c01fdd8bd821afbe6fbce1b
build/pesto,aosp,platform/build/pesto,d554620e6f7ad178b71ebb8c4269830cbd24ad8c
build/soong,crdroid,crdroidandroid/android_build_soong,51a875bac9cfb6ee7e581f0fea0563eaa702c0aa
cts,aosp,platform/cts,81025012dc7a102176449d269186de91e984c594
dalvik,aosp,platform/dalvik,090cb5952bab050da27003badb2d27e279e62115
developers/build,aosp,platform/developers/build,14c252498e7f03de8c5c6a65fdf1d7393b5ffcd6
development,aosp,platform/development,a702f93a537fcfb12e3a8d1a4ad4423b229e1e19
device/common,aosp,device/common,a9757e7e42dcdc40776b9961ec092095ad96e973
device/generic/arm64,aosp,device/generic/arm64,c3df6ff97a7cc229da9e4e67840660a76bbcfcc1
device/generic/armv7-a-neon,aosp,device/generic/armv7-a-neon,0bd9a26a61f26a73f6f333a9e7b4b399e0c00fb4
device/generic/art,aosp,device/generic/art,5d4826c180190e08fddcdbef4f7fb2b00baa39ac
device/generic/car,aosp,device/generic/car,e3641c0337b9efe35e57fbf7c50b62e774133560
device/generic/common,github,LineageOS/android_device_generic_common,62abffc498581cef1b846e5cf41b6e00a6de37a8
device/generic/goldfish,aosp,device/generic/goldfish,032ba8eafc46ef0b1269f9148df07e192f0814ba
device/generic/goldfish-opengl,aosp,device/generic/goldfish-opengl,0e3bb83b323796e755e6f5c22c54a62619074c13
device/generic/mini-emulator-arm64,aosp,device/generic/mini-emulator-arm64,3b24236047b36f026be87400f19dc98d99633580
device/generic/mini-emulator-armv7-a-neon,aosp,device/generic/mini-emulator-armv7-a-neon,976cab503dd390085bffa7d6fe3c03827f691074
device/generic/mini-emulator-x86,aosp,device/generic/mini-emulator-x86,6cc4f90392cb5c2f4589231124dbf8e111a6ac79
device/generic/mini-emulator-x86_64,aosp,device/generic/mini-emulator-x86_64,15b2ffb6bfdd65de2fa8a61701ff3e2da6ebf5ca
device/generic/qemu,aosp,device/generic/qemu,adfcf5c590f51c6c9d39b27bcf53cdf724fa4a7e
device/generic/trusty,aosp,device/generic/trusty,cae413c97b4b9c533508c1daf349d9cd51889f72
